,Unnamed: 0,agent_firm_name,case_status,class_of_admission,country_of_citizenship,employer_city,employer_decl_info_title,employer_name,employer_num_employees,employer_state,foreign_worker_info_education,foreign_worker_info_inst,foreign_worker_info_major,foreign_worker_info_state,pw_level_9089,pw_soc_title,wage_offer_from_9089
441,441,"Fragomen, Del Rey, Bernsen & Loewy LLP",Denied,H-1B,INDIA,NEW YORK,analyst,CREDIT SUISSE SECURITIES (USA) LLC,49700.0,NEW YORK,Master's,FARLEIGH DICKINSON UNIVERSITY,ELECTRICAL ENGINEERING,NEW JERSEY,2,Computer Systems Analysts,110000.0
442,442,,Denied,H-1B,INDIA,TRACY,president,AKVARR INC,35.0,CALIFORNIA,Master's,OSMANIA UNIVERSITY,ENGLISH,CALIFORNIA,2,"Software Developers, Applications",73340.8
443,443,IACO - IMMIGRATION & AMERICAN CITIZENSHIP ORGANIZATION,Denied,H-1B,COLOMBIA,BAYBORO,others,PAMLICO COUNTY SCHOOLS,319.0,NORTH CAROLINA,Bachelor's,LA PONTIFICIA UNIVERSIDAD JAVERIANA,FOREIGN LANGUAGE TEACHER EDUCATION,NORTH CAROLINA,1,"Secondary School Teachers, Except Special and Career/Technical Education",32530.0
444,444,Rose Carson Kaplan Choi & White LLP,Certified,H-1B,INDIA,DALLAS,"director,",HITACHI CONSULTING CORPORATION,1500.0,TEXAS,Master's,UNIVERSITY OF MADRAS,INFORMATION TECHNOLOGY,TEXAS,4,Computer and Information Systems Managers,155064.0
445,445,Rose Carson Kaplan Choi & White LLP,Certified,H-1B,INDIA,DALLAS,"director,",HITACHI CONSULTING CORPORATION,1500.0,TEXAS,Bachelor's,DR. B.R. AMBEDKAR OPEN UNIVERSITY,COMMERCE,TEXAS,3,Computer Systems Analysts,97157.0
446,446,,Denied,H-1B,INDIA,SAN RAMON,president,TECHNOLOGY CONSULTANTS INC.,35.0,CALIFORNIA,Master's,SRI VENKATESWARA UNIVERSITY,COMPUTER SCIENCE,VIRGINIA,2,"Software Developers, Applications",85571.2
447,447,"Fragomen, Del Rey, Bernsen & Loewy, LLC",Denied,H-1B,NEPAL,ORLANDO,manager,ADVENTIST HEALTH SYSTEM/SUNBELT INC D/B/A FLORIDA,17000.0,FLORIDA,Bachelor's,LOUISIANA TECH UNIVERSITY,MEDICAL TECHNOLOGY,FLORIDA,2,Medical and Clinical Laboratory Technologists,50400.0
448,448,Gonzalez & Harris,Certified,H-1B,INDIA,VALENCIA,manager,AEROSPACE SERVICE & CONTROLS,227.0,CALIFORNIA,Bachelor's,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",MECHANICAL ENGINEERING (+ INDIA MECH.ENGR'G DIPLOMA 2006),CALIFORNIA,1,Mechanical Engineers,58000.0
449,449,"ALAN J. STOPEK, ATTORNEY AT LAW",Denied,H-1B,INDIA,NEW YORK,vp,"COLLECTIVE, INC. D.B.A. COLLECTIVE MEDIA",275.0,NEW YORK,Bachelor's,PUNE UNIVERSITY,COMPUTER SCIENCE,NEW JERSEY,4,"Software Developers, Applications",117707.0
450,450,K. K. RASTOGI,Certified,H-1B,INDIA,PLAINSBORO,president,"COMPUNNEL SOFTWARE GROUP, INC.",250.0,NEW JERSEY,Bachelor's,MANAGLORE UNIVERSITY,ENGINEERING,NEW JERSEY,2,"Software Developers, Applications",75250.0
451,451,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",Certified,H-1B,TAIWAN,NEW YORK,vp,"GOLDMAN, SACHS & CO.",10941.0,NEW YORK,Master's,THE UNIVERSITY OF MICHIGAN,FINANCIAL ENGINEERING,NEW JERSEY,3,Accountants and Auditors,90000.0
452,452,International Services Corporation,Denied,H-1B,PHILIPPINES,AJO,others,AJO UNIFIED SCHOOL DISTRICT #15,75.0,ARIZONA,Bachelor's,PHILIPPINE NORMAL COLLEGE,EDUCATION,ARIZONA,1,Librarians,31678.0
453,453,"Zhang & Attorneys, LP",Denied,H-1B,CHINA,FLUSHING,managing,"WEI, WEI & CO., LLP",70.0,NEW YORK,Master's,QUEENS COLLEGE,ACCOUNTANCY,NEW YORK,2,Accountants and Auditors,71906.0
454,454,"Morgan, Lewis & Bockius LLP",Certified,H-1B,INDIA,SAN JOSE,sr.,"BROCADE COMMUNICATIONS SYSTEMS, INC.",4000.0,CALIFORNIA,Master's,SAN DIEGO STATE UNIVERSITY,ELECTRICAL ENGINEERING,CALIFORNIA,2,"Software Developers, Systems Software",120000.0
455,455,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,ATLANTA,"manager,","MANHATTAN ASSOCIATES, INC.",2487.0,GEORGIA,Master's,THE UNIVERSITY OF FLORIDA,INDUSTRIAL AND SYSTEMS ENGINEERING,GEORGIA,0,Computer Systems Analysts,71655.0
456,456,"Akula & Associates, P.C.",Denied,H-1B,INDIA,DALLAS,president,"BUSINESS INTELLI SOLUTIONS, INC.",35.0,TEXAS,Master's,GANNON UNIVERSITY,ELECTRICAL ENGINEERING,NEW JERSEY,2,Computer Systems Analysts,71300.0
457,457,"The Irwin Law Firm, LLC",Denied,H-1B,PHILIPPINES,GALLUP,asst.,GALLUP MCKINLEY COUNTY SCHOOLS,2500.0,NEW MEXICO,Bachelor's,UNIVERSITY OF SANTO TOMAS,SECONDARY EDUCATION,NEW MEXICO,0,Instructional Coordinators,32306.0
458,458,Berry Appleman & Leiden LLP,Certified,H-1B,INDIA,NEW YORK,analyst,"VERIZON COMMUNICATIONS INC., & ALL ITS SUBSIDIARIES & AFFILIATES",222900.0,NEW YORK,Master's,SOUTHERN ILLINOIS UNIVERSITY,ELECTRICAL AND COMPUTER ENGINEERING,COLORADO,2,"Software Developers, Systems Software",89794.0
459,459,"Hammond Law Group, LLC",Denied,H-1B,CANADA,DES PLAINES,vp,FOUNDERS INSURANCE COMPANY,214.0,ILLINOIS,Bachelor's,"THE CABOT COLELGE OF APPLIED ARTS, TECHNOLOGY, AND CONTINUING EDUCATION",COMPUTER STUDIES,ILLINOIS,2,Computer and Information Systems Managers,93995.0
460,460,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",Certified,H-1B,INDIA,JERSEY CITY,director,"LORD, ABBETT & CO. LLC",815.0,NEW JERSEY,Bachelor's,UNIVERSITY OF PUNE,COMPUTER INFORMATION SYSTEMS,NEW JERSEY,4,"Software Developers, Applications",121205.0
